2021-04-20 11:07:38,869 [ERROR]: #  设备连接失败，message：失败
2021-04-20 11:07:45,471 [INFO]: #  设备连接成功,message:0
2021-04-20 11:07:49,031 [INFO]: #  枚举应用成功,message:'dmsUK\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
2021-04-20 11:07:51,534 [INFO]: #  打开应用成功,message:0
2021-04-20 11:07:55,446 [INFO]: #  打开容器成功,message:0
2021-04-20 11:07:59,828 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:08:03,689 [INFO]: #  数据加密杂凑成功,message:0
2021-04-20 11:08:07,025 [INFO]: #  结束密码杂凑0
2021-04-20 11:09:45,832 [INFO]: #  设备连接成功,message:0
2021-04-20 11:09:47,031 [INFO]: #  打开应用成功,message:0
2021-04-20 11:09:48,570 [INFO]: #  打开容器成功,message:0
2021-04-20 11:09:50,478 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:09:52,018 [INFO]: #  数据加密杂凑成功,message:0
2021-04-20 11:09:55,314 [INFO]: #  结束密码杂凑0
2021-04-20 11:11:09,904 [INFO]: #  设备连接成功,message:0
2021-04-20 11:11:12,082 [INFO]: #  打开应用成功,message:0
2021-04-20 11:11:13,771 [INFO]: #  打开容器成功,message:0
2021-04-20 11:11:15,062 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:11:15,929 [INFO]: #  数据加密杂凑成功,message:0
2021-04-20 11:11:16,721 [INFO]: #  结束密码杂凑0
2021-04-20 11:25:28,945 [INFO]: #  设备连接成功,message:0
2021-04-20 11:25:30,122 [INFO]: #  打开应用成功,message:0
2021-04-20 11:25:30,986 [INFO]: #  打开容器成功,message:0
2021-04-20 11:25:36,006 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:25:38,608 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:25:40,185 [INFO]: #  结束密码杂凑0
2021-04-20 11:25:55,713 [INFO]: #  设备连接成功,message:0
2021-04-20 11:25:56,810 [INFO]: #  打开应用成功,message:0
2021-04-20 11:25:57,472 [INFO]: #  打开容器成功,message:0
2021-04-20 11:25:58,872 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:25:59,711 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:26:00,457 [INFO]: #  结束密码杂凑0
2021-04-20 11:27:13,295 [INFO]: #  设备连接成功,message:0
2021-04-20 11:27:14,226 [INFO]: #  打开应用成功,message:0
2021-04-20 11:27:14,787 [INFO]: #  打开容器成功,message:0
2021-04-20 11:27:16,518 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:27:17,129 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:27:17,722 [INFO]: #  结束密码杂凑0
2021-04-20 11:27:29,906 [INFO]: #  设备连接成功,message:0
2021-04-20 11:27:31,634 [INFO]: #  打开应用成功,message:0
2021-04-20 11:27:32,250 [INFO]: #  打开容器成功,message:0
2021-04-20 11:27:33,780 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:27:34,608 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:27:35,330 [INFO]: #  结束密码杂凑0
2021-04-20 11:27:35,330 [INFO]: #  杂凑结果：%s
2021-04-20 11:28:20,112 [INFO]: #  设备连接成功,message:0
2021-04-20 11:28:22,891 [INFO]: #  打开应用成功,message:0
2021-04-20 11:28:23,456 [INFO]: #  打开容器成功,message:0
2021-04-20 11:28:25,670 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:28:26,769 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:28:27,949 [INFO]: #  结束密码杂凑0
2021-04-20 11:30:49,401 [INFO]: #  设备连接成功,message:0
2021-04-20 11:30:51,309 [ERROR]: #  关闭应用失败，message：失败
2021-04-20 11:30:52,101 [ERROR]: #  打开容器失败，message：失败
2021-04-20 11:30:54,422 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:30:55,144 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:30:55,591 [INFO]: #  结束密码杂凑0
2021-04-20 11:30:55,592 [INFO]: #  杂凑结果：0
2021-04-20 11:31:18,666 [INFO]: #  设备连接成功,message:0
2021-04-20 11:31:19,714 [INFO]: #  打开应用成功,message:0
2021-04-20 11:31:20,629 [INFO]: #  打开容器成功,message:0
2021-04-20 11:31:21,742 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:31:22,568 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:31:23,099 [INFO]: #  结束密码杂凑0
2021-04-20 11:31:48,897 [INFO]: #  设备连接成功,message:0
2021-04-20 11:31:50,166 [ERROR]: #  关闭应用失败，message：失败
2021-04-20 11:31:51,259 [INFO]: #  打开应用成功,message:0
2021-04-20 11:31:52,603 [INFO]: #  打开容器成功,message:0
2021-04-20 11:31:53,654 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:31:54,235 [INFO]: #  数据加密杂凑成功,message:0
2021-04-20 11:31:55,305 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:31:56,483 [INFO]: #  结束密码杂凑0
2021-04-20 11:32:00,649 [INFO]: #  设备连接成功,message:0
2021-04-20 11:32:01,522 [INFO]: #  打开应用成功,message:0
2021-04-20 11:32:02,282 [INFO]: #  打开容器成功,message:0
2021-04-20 11:32:04,870 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:32:05,704 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:32:06,298 [INFO]: #  结束密码杂凑0
2021-04-20 11:32:19,897 [INFO]: #  设备连接成功,message:0
2021-04-20 11:32:21,290 [INFO]: #  打开应用成功,message:0
2021-04-20 11:32:21,781 [INFO]: #  打开容器成功,message:0
2021-04-20 11:32:22,807 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:32:23,680 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:32:24,287 [INFO]: #  结束密码杂凑0
2021-04-20 11:33:27,113 [INFO]: #  设备连接成功,message:0
2021-04-20 11:33:28,346 [INFO]: #  打开应用成功,message:0
2021-04-20 11:33:28,779 [INFO]: #  打开容器成功,message:0
2021-04-20 11:33:30,782 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:33:31,665 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:33:32,274 [INFO]: #  结束密码杂凑0
2021-04-20 11:33:58,288 [INFO]: #  设备连接成功,message:0
2021-04-20 11:34:00,547 [INFO]: #  打开应用成功,message:0
2021-04-20 11:34:01,211 [INFO]: #  打开容器成功,message:0
2021-04-20 11:34:02,383 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:34:02,930 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:34:03,584 [INFO]: #  结束密码杂凑0
2021-04-20 11:35:11,777 [INFO]: #  设备连接成功,message:0
2021-04-20 11:35:12,291 [INFO]: #  打开应用成功,message:0
2021-04-20 11:35:12,819 [INFO]: #  打开容器成功,message:0
2021-04-20 11:35:14,142 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:35:14,976 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:35:15,539 [INFO]: #  结束密码杂凑0
2021-04-20 11:35:56,545 [INFO]: #  设备连接成功,message:0
2021-04-20 11:35:57,315 [INFO]: #  打开应用成功,message:0
2021-04-20 11:35:57,875 [INFO]: #  打开容器成功,message:0
2021-04-20 11:35:58,951 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:35:59,769 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:36:00,148 [INFO]: #  结束密码杂凑0
2021-04-20 11:36:31,145 [INFO]: #  设备连接成功,message:0
2021-04-20 11:36:32,251 [INFO]: #  打开应用成功,message:0
2021-04-20 11:36:32,835 [INFO]: #  打开容器成功,message:0
2021-04-20 11:36:34,407 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:36:35,073 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:36:35,723 [INFO]: #  结束密码杂凑0
2021-04-20 11:36:47,839 [INFO]: #  设备连接成功,message:0
2021-04-20 11:36:48,932 [INFO]: #  打开应用成功,message:0
2021-04-20 11:36:49,387 [INFO]: #  打开容器成功,message:0
2021-04-20 11:36:50,679 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:36:51,478 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:36:52,259 [INFO]: #  结束密码杂凑0
2021-04-20 11:43:17,081 [INFO]: #  设备连接成功,message:0
2021-04-20 11:43:18,355 [INFO]: #  打开应用成功,message:0
2021-04-20 11:43:19,340 [INFO]: #  打开容器成功,message:0
2021-04-20 11:43:20,574 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:43:21,380 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:43:21,826 [INFO]: #  结束密码杂凑0
2021-04-20 11:43:47,198 [INFO]: #  设备连接成功,message:0
2021-04-20 11:43:48,011 [INFO]: #  打开应用成功,message:0
2021-04-20 11:43:48,811 [INFO]: #  打开容器成功,message:0
2021-04-20 11:43:49,983 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:43:50,737 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:43:51,242 [INFO]: #  结束密码杂凑0
2021-04-20 11:43:57,640 [INFO]: #  设备连接成功,message:0
2021-04-20 11:43:58,723 [INFO]: #  打开应用成功,message:0
2021-04-20 11:43:59,132 [INFO]: #  打开容器成功,message:0
2021-04-20 11:44:00,214 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:44:00,968 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:44:02,344 [INFO]: #  结束密码杂凑0
2021-04-20 11:46:16,529 [INFO]: #  设备连接成功,message:0
2021-04-20 11:46:17,507 [INFO]: #  打开应用成功,message:0
2021-04-20 11:46:18,699 [INFO]: #  打开容器成功,message:0
2021-04-20 11:46:19,959 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:46:20,714 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:46:21,083 [INFO]: #  结束密码杂凑0
2021-04-20 11:47:10,385 [INFO]: #  设备连接成功,message:0
2021-04-20 11:47:11,363 [INFO]: #  打开应用成功,message:0
2021-04-20 11:47:11,931 [INFO]: #  打开容器成功,message:0
2021-04-20 11:47:13,358 [INFO]: #  密码杂凑初始化成功,message:0
2021-04-20 11:47:14,129 [INFO]: #  多组数据加密杂凑成功,message:0
2021-04-20 11:47:14,491 [INFO]: #  结束密码杂凑0
