2021-05-17 10:18:44,265 [ERROR]: #  加密初始化失败，message：无效的句柄
2021-05-17 10:18:44,267 [ERROR]: #  多组数据加密失败，message：无效的句柄
2021-05-17 10:18:44,267 [ERROR]: #  结束加密，message:无效的句柄
2021-05-17 10:18:55,260 [INFO]: #  枚举设备成功,message:b'CIDC CD-ROM USB Device'
2021-05-17 10:19:06,608 [ERROR]: #  打开应用失败，message：失败
2021-05-17 10:19:11,513 [ERROR]: #  设备认证失败，message：失败
2021-05-17 10:19:14,433 [INFO]: #  设备连接成功,message:0
2021-05-17 10:19:16,200 [INFO]: #  设备认证成功,message:0
2021-05-17 10:19:18,507 [INFO]: #  打开应用成功,message:0
2021-05-17 10:19:21,190 [INFO]: #  打开容器成功,message:0
2021-05-17 10:19:27,342 [ERROR]: #  加密初始化失败，message：密钥未发现
2021-05-17 10:19:27,348 [ERROR]: #  多组数据加密失败，message：密钥类型错误
2021-05-17 10:19:27,354 [ERROR]: #  结束加密，message:密钥类型错误
2021-05-17 10:19:40,170 [ERROR]: #  Ecc签名失败，message：操作权限不足
2021-05-17 10:19:40,171 [INFO]: #  单次平均执行时间：0 ms
2021-05-17 10:20:03,884 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:20:06,871 [INFO]: #  单次平均执行时间：18 ms
2021-05-17 10:20:06,871 [INFO]: #  SKF_ECCSignData性能测试结果：55 次/秒
2021-05-17 10:20:10,637 [ERROR]: #  加密初始化失败，message：密钥未发现
2021-05-17 10:20:10,644 [ERROR]: #  多组数据加密失败，message：密钥类型错误
2021-05-17 10:20:10,650 [ERROR]: #  结束加密，message:密钥类型错误
2021-05-17 10:24:14,639 [INFO]: #  生成并导出会话密钥成功,message:0
2021-05-17 10:24:17,711 [INFO]: #  导出加密公钥成功,message:0
2021-05-17 10:24:17,748 [INFO]: #  生成并导出会话密钥成功,message:0
2021-05-17 10:24:17,755 [INFO]: #  销毁会话密钥成功，message：0
2021-05-17 10:24:17,783 [INFO]: #  导入会话密钥成功,message:0
2021-05-17 10:24:26,121 [ERROR]: #  加密初始化失败，message：失败
2021-05-17 10:24:26,121 [ERROR]: #  多组数据加密失败，message：无效的句柄
2021-05-17 10:24:26,122 [ERROR]: #  结束加密，message:无效的句柄
2021-05-17 10:24:33,600 [ERROR]: #  加密初始化失败，message：失败
2021-05-17 10:24:33,601 [ERROR]: #  多组数据加密失败，message：无效的句柄
2021-05-17 10:24:33,601 [ERROR]: #  结束加密，message:无效的句柄
2021-05-17 10:24:52,463 [INFO]: #  枚举设备成功,message:b'CIDC CD-ROM USB Device'
2021-05-17 10:24:52,473 [INFO]: #  设备连接成功,message:0
2021-05-17 10:24:52,489 [INFO]: #  设备认证成功,message:0
2021-05-17 10:24:52,587 [INFO]: #  删除应用成功,message:0
2021-05-17 10:25:04,421 [ERROR]: #  生成ecc签名钥对失败，message：操作权限不足
2021-05-17 10:25:04,422 [INFO]: #  单次平均执行时间：0 ms
2021-05-17 10:25:08,240 [ERROR]: #  设备连接失败，message：空间不足
2021-05-17 10:25:11,367 [INFO]: #  设备认证成功,message:0
2021-05-17 10:25:13,942 [ERROR]: #  打开应用失败，message：应用不存在
2021-05-17 10:26:38,865 [ERROR]: #  枚举应用失败，message：失败
2021-05-17 10:26:41,320 [ERROR]: #  设备认证失败，message：失败
2021-05-17 10:26:42,973 [INFO]: #  设备连接成功,message:0
2021-05-17 10:26:44,480 [INFO]: #  设备认证成功,message:0
2021-05-17 10:26:46,318 [ERROR]: #  枚举应用失败，message：应用不存在
2021-05-17 10:40:40,309 [INFO]: #  应用创建成功,message:0
2021-05-17 10:40:43,016 [INFO]: #  枚举应用成功,message:'dmsUK\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
2021-05-17 10:40:46,682 [ERROR]: #  容器创建失败，message：失败
2021-05-17 10:40:49,221 [ERROR]: #  校验用户PIN失败，message：应用不存在
2021-05-17 10:40:51,085 [INFO]: #  打开应用成功,message:0
2021-05-17 10:40:52,615 [ERROR]: #  容器创建失败，message：操作权限不足
2021-05-17 10:40:54,196 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:40:55,465 [INFO]: #  容器创建成功,message:0
2021-05-17 10:41:15,101 [INFO]: #  设备连接成功,message:0
2021-05-17 10:41:15,896 [INFO]: #  设备认证成功,message:0
2021-05-17 10:41:16,702 [ERROR]: #  校验用户PIN失败，message：应用不存在
2021-05-17 10:41:19,119 [INFO]: #  打开应用成功,message:0
2021-05-17 10:41:20,424 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:41:22,143 [INFO]: #  打开容器成功,message:0
2021-05-17 10:42:51,189 [INFO]: #  设备连接成功,message:0
2021-05-17 10:42:51,833 [INFO]: #  设备认证成功,message:0
2021-05-17 10:42:54,118 [INFO]: #  打开应用成功,message:0
2021-05-17 10:42:54,832 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:42:56,207 [INFO]: #  打开容器成功,message:0
2021-05-17 10:43:29,572 [INFO]: #  设备连接成功,message:0
2021-05-17 10:43:30,368 [INFO]: #  设备认证成功,message:0
2021-05-17 10:43:31,087 [INFO]: #  打开应用成功,message:0
2021-05-17 10:43:32,821 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:43:33,784 [INFO]: #  打开容器成功,message:0
2021-05-17 10:44:07,780 [INFO]: #  枚举设备成功,message:b'CIDC CD-ROM USB Device'
2021-05-17 10:44:09,530 [INFO]: #  设备连接成功,message:0
2021-05-17 10:44:10,168 [INFO]: #  设备认证成功,message:0
2021-05-17 10:44:11,072 [INFO]: #  打开应用成功,message:0
2021-05-17 10:44:11,984 [INFO]: #  修改用户PIN成功,message:0
2021-05-17 10:44:15,088 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:44:19,903 [INFO]: #  打开容器成功,message:0
2021-05-17 10:48:21,172 [INFO]: #  设备连接成功,message:0
2021-05-17 10:48:21,738 [INFO]: #  设备认证成功,message:0
2021-05-17 10:48:22,976 [INFO]: #  打开应用成功,message:0
2021-05-17 10:48:25,262 [ERROR]: #  校验用户PIN失败，message：PIN不正确
2021-05-17 10:48:26,120 [INFO]: #  打开容器成功,message:0
2021-05-17 10:48:31,935 [ERROR]: #  生成ecc签名钥对失败，message：操作权限不足
2021-05-17 10:48:38,366 [INFO]: #  校验管理员PIN成功,message:0
2021-05-17 10:48:39,784 [ERROR]: #  生成ecc签名钥对失败，message：操作权限不足
2021-05-17 10:48:42,274 [ERROR]: #  修改用户PIN失败，message：PIN不正确
2021-05-17 10:48:45,622 [ERROR]: #  校验用户PIN失败，message：PIN不正确
2021-05-17 10:48:47,125 [ERROR]: #  校验用户PIN失败，message：PIN不正确
2021-05-17 10:48:49,216 [INFO]: #  校验管理员PIN成功,message:0
2021-05-17 10:48:51,294 [ERROR]: #  校验用户PIN失败，message：PIN不正确
2021-05-17 10:48:54,905 [INFO]: #  设备认证成功,message:0
2021-05-17 10:48:56,702 [ERROR]: #  校验用户PIN失败，message：认证方法锁定
2021-05-17 10:49:01,081 [INFO]: #  解锁用户PIN成功,message:0
2021-05-17 10:49:02,877 [INFO]: #  校验用户PIN成功,message:0
2021-05-17 10:49:05,583 [INFO]: #  打开容器成功,message:0
2021-05-17 10:49:08,627 [INFO]: #  生成ecc签名钥对成功,message:0
